[0.075s] Invoking command in '/home/apoorvtechh/dev_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/apoorvtechh/dev_ws/build/my_bot -- -j4 -l4
[0.126s] Invoked command in '/home/apoorvtechh/dev_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/apoorvtechh/dev_ws/build/my_bot -- -j4 -l4
[0.172s] Invoking command in '/home/apoorvtechh/dev_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/apoorvtechh/dev_ws/build/my_bot
[0.182s] -- Install configuration: ""
[0.183s] -- Execute custom install script
[0.184s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/config/empty.yaml
[0.185s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/config/gazebo_params.yaml
[0.185s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/config/my_controllers.yaml
[0.186s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/config/view_bot.rviz
[0.187s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/description/camera.xacro
[0.188s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/description/gazebo_control.xacro
[0.189s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/description/inertial_macros.xacro
[0.189s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/description/lidar.xacro
[0.190s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/description/robot.urdf.xacro
[0.191s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/description/robot_core.xacro
[0.191s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/description/ros2_control.xacro
[0.192s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/launch/launch_robot.launch.py
[0.193s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/launch/launch_sim.launch.py
[0.194s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/launch/rsp.launch.py
[0.194s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/worlds/empty.world
[0.195s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/worlds/obstacles.world
[0.196s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/ament_index/resource_index/package_run_dependencies/my_bot
[0.197s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/ament_index/resource_index/parent_prefix_path/my_bot
[0.198s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.sh
[0.198s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/environment/ament_prefix_path.dsv
[0.200s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/environment/path.sh
[0.201s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/environment/path.dsv
[0.201s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/local_setup.bash
[0.202s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/local_setup.sh
[0.203s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/local_setup.zsh
[0.204s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/local_setup.dsv
[0.205s] -- Symlinking: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/package.dsv
[0.222s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/ament_index/resource_index/packages/my_bot
[0.222s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/cmake/my_botConfig.cmake
[0.223s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/cmake/my_botConfig-version.cmake
[0.225s] -- Up-to-date symlink: /home/apoorvtechh/dev_ws/install/my_bot/share/my_bot/package.xml
[0.226s] Invoked command in '/home/apoorvtechh/dev_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/apoorvtechh/dev_ws/build/my_bot
